epoch,temperature,train_loss,layer0_selected,layer0_conv3x3,layer0_conv5x5,layer0_skip_connect,layer0_dil_conv_3x3,layer0_sep_conv_3x3,layer1_selected,layer1_conv3x3,layer1_conv5x5,layer1_skip_connect,layer1_dil_conv_3x3,layer1_sep_conv_3x3,layer2_selected,layer2_conv3x3,layer2_conv5x5,layer2_skip_connect,layer2_dil_conv_3x3,layer2_sep_conv_3x3
1,1.0,1.2067745923995972,dil_conv_3x3,0.2017507404088974,0.1944960206747055,0.1928935945034027,0.214281365275383,0.19657829403877258,conv5x5,0.21680130064487457,0.2384398877620697,0.17409835755825043,0.20025812089443207,0.17040233314037323,dil_conv_3x3,0.18654905259609222,0.27661141753196716,0.12416873127222061,0.2860969603061676,0.1265738308429718
2,0.95875,1.1061726808547974,dil_conv_3x3,0.19659289717674255,0.2025921642780304,0.19582602381706238,0.2225767970085144,0.18241210281848907,conv5x5,0.20941931009292603,0.26275187730789185,0.1514405459165573,0.20796003937721252,0.1684282422065735,dil_conv_3x3,0.1333855241537094,0.325573205947876,0.07996661216020584,0.37442344427108765,0.08665122836828232
3,0.9175,1.0708160400390625,dil_conv_3x3,0.1968076229095459,0.2062196284532547,0.18697261810302734,0.24111351370811462,0.16888666152954102,conv5x5,0.18708950281143188,0.2827927768230438,0.14693106710910797,0.21856991946697235,0.16461671888828278,dil_conv_3x3,0.09495937079191208,0.35068464279174805,0.05668824911117554,0.4343365728855133,0.06333114951848984
4,0.87625,0.7669034004211426,dil_conv_3x3,0.21170346438884735,0.18507975339889526,0.18183226883411407,0.2533795237541199,0.16800501942634583,conv5x5,0.18440119922161102,0.3183870315551758,0.1386466920375824,0.2018863707780838,0.15667861700057983,dil_conv_3x3,0.06865210086107254,0.32687804102897644,0.043845418840646744,0.5111789703369141,0.04944548010826111
5,0.835,0.5933462977409363,dil_conv_3x3,0.21613729000091553,0.18611621856689453,0.17722588777542114,0.24982964992523193,0.17069102823734283,conv5x5,0.20058947801589966,0.31137892603874207,0.12709100544452667,0.20943813025951385,0.15150241553783417,dil_conv_3x3,0.04910803213715553,0.2786254286766052,0.03460856154561043,0.5991761684417725,0.03848185017704964
6,0.79375,0.6034145355224609,dil_conv_3x3,0.21764032542705536,0.1836540699005127,0.18419118225574493,0.24633055925369263,0.1681838482618332,conv5x5,0.19311381876468658,0.346265584230423,0.12086602300405502,0.1901259422302246,0.149628683924675,dil_conv_3x3,0.03931489586830139,0.25013068318367004,0.029635567218065262,0.6481184363365173,0.03280036896467209
7,0.7525000000000001,0.7667875289916992,dil_conv_3x3,0.23039960861206055,0.18619093298912048,0.1776992827653885,0.2482423335313797,0.1574678272008896,conv5x5,0.20202752947807312,0.3471863269805908,0.12764526903629303,0.18536001443862915,0.13778086006641388,dil_conv_3x3,0.03320380300283432,0.20577290654182434,0.02648140862584114,0.7055402398109436,0.029001692309975624
8,0.7112499999999999,0.6398922204971313,dil_conv_3x3,0.22700384259223938,0.19743114709854126,0.16636721789836884,0.25763484835624695,0.15156294405460358,conv5x5,0.19072170555591583,0.3551555871963501,0.13405217230319977,0.1764107644557953,0.1436598151922226,dil_conv_3x3,0.029477888718247414,0.16495691239833832,0.024586902931332588,0.7543853521347046,0.026593036949634552
9,0.6699999999999999,0.5573242902755737,dil_conv_3x3,0.2306433767080307,0.21094070374965668,0.15216109156608582,0.25811728835105896,0.14813758432865143,conv5x5,0.18630507588386536,0.36092013120651245,0.12873245775699615,0.1721300482749939,0.15191227197647095,dil_conv_3x3,0.02769794687628746,0.1304139792919159,0.02376823127269745,0.7926568388938904,0.02546302229166031
10,0.6287499999999999,0.7654297947883606,dil_conv_3x3,0.2254849672317505,0.21965381503105164,0.16396984457969666,0.24733804166316986,0.14355331659317017,conv5x5,0.20019924640655518,0.3449004590511322,0.1409386843442917,0.16760176420211792,0.1463598757982254,dil_conv_3x3,0.027447108179330826,0.10568558424711227,0.023927267640829086,0.8174876570701599,0.025452353060245514
11,0.5874999999999999,0.7724983096122742,dil_conv_3x3,0.22797533869743347,0.22400698065757751,0.16250978410243988,0.24799653887748718,0.13751129806041718,conv5x5,0.19814084470272064,0.3462953567504883,0.14639903604984283,0.1603570282459259,0.14880771934986115,dil_conv_3x3,0.02825118601322174,0.08725496381521225,0.02485361509025097,0.8333873748779297,0.026252875104546547
12,0.5462499999999999,0.6552709937095642,dil_conv_3x3,0.23058125376701355,0.22458752989768982,0.1584019958972931,0.2510523796081543,0.13537682592868805,conv5x5,0.2019999772310257,0.3432621657848358,0.1474565863609314,0.159670889377594,0.14761042594909668,dil_conv_3x3,0.03025193139910698,0.07472068816423416,0.026732245460152626,0.8402414917945862,0.028053678572177887
13,0.5050000000000001,0.7027548551559448,dil_conv_3x3,0.23067836463451385,0.21780890226364136,0.1574261486530304,0.2550736367702484,0.13901296257972717,conv5x5,0.20097942650318146,0.3467619717121124,0.1486688256263733,0.15450109541416168,0.14908869564533234,dil_conv_3x3,0.03348332270979881,0.06716549396514893,0.029705649241805077,0.8386780619621277,0.0309674683958292
14,0.46375,0.6822358965873718,dil_conv_3x3,0.22611048817634583,0.22919511795043945,0.15813134610652924,0.24447323381900787,0.14208973944187164,conv5x5,0.21557100117206573,0.3333817422389984,0.14069806039333344,0.1537766456604004,0.15657255053520203,dil_conv_3x3,0.03827110677957535,0.06398838758468628,0.034114692360162735,0.8282763957977295,0.03534936159849167
15,0.4225,0.7029200196266174,conv3x3,0.24047356843948364,0.2262418419122696,0.15262240171432495,0.2373236119747162,0.14333857595920563,conv5x5,0.21180401742458344,0.3285270929336548,0.14266350865364075,0.15548262000083923,0.16152270138263702,dil_conv_3x3,0.044648345559835434,0.06377725303173065,0.04009636864066124,0.8101751804351807,0.041302815079689026
16,0.38125,0.6927381753921509,conv3x3,0.23438683152198792,0.2339906543493271,0.15564854443073273,0.2296644002199173,0.14630956947803497,conv5x5,0.20395851135253906,0.32136669754981995,0.14476022124290466,0.16259834170341492,0.16731621325016022,dil_conv_3x3,0.05271729454398155,0.0661190003156662,0.04785095527768135,0.7842968106269836,0.04901601001620293
17,0.33999999999999997,0.5327876806259155,conv3x3,0.2348257452249527,0.23338629305362701,0.1497507244348526,0.22647640109062195,0.15556082129478455,conv5x5,0.2120012491941452,0.31586501002311707,0.15278080105781555,0.15724699199199677,0.16210590302944183,dil_conv_3x3,0.06255858391523361,0.07074356824159622,0.057536300271749496,0.7505238056182861,0.05863780155777931
18,0.29875000000000007,0.5931728482246399,dil_conv_3x3,0.23062747716903687,0.21366308629512787,0.15814799070358276,0.23536336421966553,0.16219815611839294,conv5x5,0.2077960968017578,0.2900658845901489,0.15276513993740082,0.15815135836601257,0.19122153520584106,dil_conv_3x3,0.07381337881088257,0.07726138085126877,0.06897661834955215,0.7100039124488831,0.06994469463825226
19,0.25749999999999995,0.49231231212615967,conv3x3,0.22651079297065735,0.2130788117647171,0.16125056147575378,0.22014619410037994,0.17901360988616943,conv5x5,0.22030478715896606,0.2675880491733551,0.17250582575798035,0.15990857779979706,0.17969276010990143,dil_conv_3x3,0.0864214152097702,0.08572153002023697,0.0820460394024849,0.6629490852355957,0.08286191523075104
20,0.21625000000000005,0.5232954621315002,dil_conv_3x3,0.21756784617900848,0.21919579803943634,0.15976619720458984,0.22150081396102905,0.18196932971477509,conv5x5,0.21324259042739868,0.2713855504989624,0.17791838943958282,0.15691150724887848,0.18054193258285522,dil_conv_3x3,0.10056734830141068,0.09615956991910934,0.09675246477127075,0.6091281771659851,0.0973924919962883
21,0.17499999999999993,0.4061363935470581,conv5x5,0.21282650530338287,0.2155952751636505,0.17003481090068817,0.2152400016784668,0.18630342185497284,conv5x5,0.21961122751235962,0.25863927602767944,0.18585343658924103,0.15865233540534973,0.17724372446537018,dil_conv_3x3,0.11582602560520172,0.10830704867839813,0.11257056146860123,0.5502265691757202,0.11306983232498169
22,0.13375000000000004,0.5673101544380188,dil_conv_3x3,0.20773473381996155,0.2100622057914734,0.1736840009689331,0.21526548266410828,0.1932535618543625,conv5x5,0.2181895673274994,0.2477496862411499,0.19088727235794067,0.1550057977437973,0.1881677210330963,dil_conv_3x3,0.13141794502735138,0.12157822400331497,0.128721684217453,0.48920977115631104,0.12907230854034424
23,0.09249999999999992,0.781686544418335,dil_conv_3x3,0.21120184659957886,0.20636135339736938,0.17789605259895325,0.2119254171848297,0.19261540472507477,conv5x5,0.2141532599925995,0.2356838881969452,0.19468486309051514,0.15863490104675293,0.19684308767318726,dil_conv_3x3,0.14608445763587952,0.13512809574604034,0.14396460354328156,0.4306430220603943,0.1441798061132431
24,0.05125000000000002,0.4853735864162445,dil_conv_3x3,0.20461800694465637,0.2008078396320343,0.19086159765720367,0.20711451768875122,0.19659805297851562,conv5x5,0.21119199693202972,0.22634240984916687,0.202843576669693,0.15797221660614014,0.20164987444877625,dil_conv_3x3,0.1583177149295807,0.14831118285655975,0.15698818862438202,0.3792779743671417,0.15710492432117462
25,0.01000000000000012,0.5987901091575623,conv3x3,0.20390477776527405,0.20075668394565582,0.19338782131671906,0.2022821009159088,0.19966864585876465,conv5x5,0.2173372358083725,0.2209576517343521,0.1989988386631012,0.1578184813261032,0.20488771796226501,dil_conv_3x3,0.16815918684005737,0.1604817658662796,0.16754843294620514,0.3362112045288086,0.16759948432445526
