epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds
1,1.3836041025797525,0.49777777777777776,1.094240928554535,0.6074,24.257160560000102
2,1.0475482502407498,0.6255555555555555,1.0000932172775268,0.6418,24.350266030000057
3,0.9267508733961317,0.6724666666666667,0.9326607518196106,0.6678,23.729632781999953
4,0.8590141343858507,0.6995333333333333,0.8235015135765076,0.7112,23.68713144000003
5,0.8033520038180881,0.7161777777777778,0.831710027217865,0.7132,24.10067588799984
6,0.7709601643880208,0.7311333333333333,0.7976828620433808,0.7272,23.828793629999836
7,0.7407733155992297,0.7427111111111111,0.759151564502716,0.733,24.186203229000057
8,0.7178524148305258,0.7505333333333334,0.7571295887947083,0.728,24.267390272000057
9,0.6949451981014676,0.7575777777777778,0.6821647750377655,0.7536,23.70378367400008
10,0.6795891523996989,0.7639555555555556,0.6879477803230286,0.7542,24.077230421999957
11,0.6628734733581543,0.7678444444444444,0.66426561794281,0.764,23.530212637999966
12,0.6507663300832113,0.7733777777777778,0.615768466758728,0.7862,23.897321292000015
13,0.6330303465949164,0.7799333333333334,0.6681924775123597,0.7656,23.941526982999903
14,0.6207184811909994,0.7838666666666667,0.6266732367515564,0.7814,24.085288626999954
15,0.6122392598893908,0.7872666666666667,0.6479346149921418,0.7726,23.872125264000033
1,1.4850957882351346,0.4573111111111111,1.1863649782180785,0.5768,25.596354464999877
2,1.173050747426351,0.5792666666666667,1.1292365871429444,0.5986,26.120131560000118
3,1.0482772264268663,0.6258222222222222,1.078744550704956,0.6366,26.128849345000162
4,0.9590536720275878,0.6623777777777777,0.9736297449111938,0.6744,26.43807408399971
5,0.89997406217787,0.6826444444444445,0.8848891450881958,0.6956,26.310331743999996
6,0.8541635443793403,0.7027333333333333,0.7253860180854798,0.7436,26.149829115000102
7,0.8185138733757866,0.7092888888888889,0.8393725950241089,0.7268,26.67968610600019
8,0.7803054457770453,0.7252222222222222,0.6912722882270813,0.7678,26.164183048999803
9,0.7508823655022515,0.7373111111111111,0.6152406064987183,0.7928,26.32972873000017
10,0.7334250304751926,0.7443111111111111,0.5928123168945313,0.7934,26.694026428999678
11,0.7069533856709799,0.7544222222222222,0.5779122586250305,0.7994,27.093217638999704
12,0.6835142992231581,0.7617333333333334,0.6122971921443939,0.7874,26.085344394000458
13,0.6628176505353716,0.7703777777777778,0.5772223160505294,0.7954,26.019621728999482
14,0.6469734832763672,0.7751777777777777,0.55339031291008,0.8088,26.237516609000522
15,0.6313576465182834,0.7795111111111112,0.5047135257720947,0.823,26.136240046999774
16,0.6170212462107341,0.7867555555555555,0.5022441834926605,0.8276,26.198012862000724
17,0.609085233645969,0.7901333333333334,0.5307907300710678,0.82,25.896912205999797
18,0.5911138281080458,0.7938666666666667,0.5135725692152977,0.8262,26.001697476999652
19,0.5771073881785075,0.7972666666666667,0.4832373514890671,0.8358,25.86425846199927
20,0.5677545516967774,0.8029111111111111,0.4693684404373169,0.8382,26.56750613099939
21,0.5543220609452989,0.8054666666666667,0.48687894937992093,0.839,26.611853093000718
22,0.550026254664527,0.8076222222222222,0.4792489047586918,0.8368,26.116551949000495
23,0.537374400583903,0.8133333333333334,0.4853182457447052,0.8364,26.521073261999845
24,0.5231724933624268,0.8171777777777778,0.4570777972698212,0.8436,26.01196041000003
25,0.519021946144104,0.8209777777777778,0.4749630084037781,0.8448,26.07275512599972
