epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds
1,1.3836041025797525,0.49777777777777776,1.094240928554535,0.6074,24.257160560000102
2,1.0475482502407498,0.6255555555555555,1.0000932172775268,0.6418,24.350266030000057
3,0.9267508733961317,0.6724666666666667,0.9326607518196106,0.6678,23.729632781999953
4,0.8590141343858507,0.6995333333333333,0.8235015135765076,0.7112,23.68713144000003
5,0.8033520038180881,0.7161777777777778,0.831710027217865,0.7132,24.10067588799984
6,0.7709601643880208,0.7311333333333333,0.7976828620433808,0.7272,23.828793629999836
7,0.7407733155992297,0.7427111111111111,0.759151564502716,0.733,24.186203229000057
8,0.7178524148305258,0.7505333333333334,0.7571295887947083,0.728,24.267390272000057
9,0.6949451981014676,0.7575777777777778,0.6821647750377655,0.7536,23.70378367400008
10,0.6795891523996989,0.7639555555555556,0.6879477803230286,0.7542,24.077230421999957
11,0.6628734733581543,0.7678444444444444,0.66426561794281,0.764,23.530212637999966
12,0.6507663300832113,0.7733777777777778,0.615768466758728,0.7862,23.897321292000015
13,0.6330303465949164,0.7799333333333334,0.6681924775123597,0.7656,23.941526982999903
14,0.6207184811909994,0.7838666666666667,0.6266732367515564,0.7814,24.085288626999954
15,0.6122392598893908,0.7872666666666667,0.6479346149921418,0.7726,23.872125264000033
