generation,individual_id,fitness,validation_accuracy,train_accuracy,train_loss,validation_loss,parameters,latency_ms,parameter_penalty,latency_penalty,genome,num_layers,filters,kernel_sizes,pooling_types,skip_connections,dropout
5,36,0.6540637217666587,0.664,0.5813777777777778,1.165422057088216,0.9530841636657716,905034,0.8859382333412213,0.00905034,0.0008859382333412,"{""num_layers"": 4, ""filters"": [64, 128, 128, 128], ""kernel_sizes"": [3, 3, 5, 5], ""pooling_types"": [""max"", ""max"", ""max"", ""avg""], ""skip_connections"": [false, true, false, true], ""dropout"": 0.005075557219338556}",4,"[64, 128, 128, 128]","[3, 3, 5, 5]","[""max"", ""max"", ""max"", ""avg""]","[false, true, false, true]",0.0050755572193385
6,43,0.655430467899996,0.6632,0.5784222222222222,1.1745478316413032,0.9284723429679872,710282,0.6667121000039818,0.00710282,0.0006667121000039,"{""num_layers"": 4, ""filters"": [128, 128, 128, 128], ""kernel_sizes"": [3, 3, 5, 3], ""pooling_types"": [""max"", ""max"", ""max"", ""avg""], ""skip_connections"": [false, false, false, true], ""dropout"": 0.005075557219338556}",4,"[128, 128, 128, 128]","[3, 3, 5, 3]","[""max"", ""max"", ""max"", ""avg""]","[false, false, false, true]",0.0050755572193385
6,44,0.6480176462000088,0.6554,0.5705111111111111,1.1996308482699924,0.9667237270355225,655050,0.8318537999912223,0.0065505,0.0008318537999912,"{""num_layers"": 4, ""filters"": [64, 64, 128, 128], ""kernel_sizes"": [3, 3, 5, 5], ""pooling_types"": [""max"", ""max"", ""max"", ""avg""], ""skip_connections"": [false, false, false, true], ""dropout"": 0.005075557219338556}",4,"[64, 64, 128, 128]","[3, 3, 5, 5]","[""max"", ""max"", ""max"", ""avg""]","[false, false, false, true]",0.0050755572193385
5,41,0.6415666780333465,0.6474,0.5616666666666666,1.220517149098714,0.9849284019470216,504714,0.786181966653506,0.00504714,0.0007861819666535,"{""num_layers"": 4, ""filters"": [32, 64, 128, 128], ""kernel_sizes"": [3, 3, 3, 5], ""pooling_types"": [""max"", ""avg"", ""avg"", ""max""], ""skip_connections"": [true, false, false, true], ""dropout"": 0.005075557219338556}",4,"[32, 64, 128, 128]","[3, 3, 3, 5]","[""max"", ""avg"", ""avg"", ""max""]","[true, false, false, true]",0.0050755572193385
3,28,0.6434337625333403,0.6464,0.5502888888888889,1.2555897928873698,0.980109745502472,225194,0.7142974666597487,0.00225194,0.0007142974666597,"{""num_layers"": 4, ""filters"": [32, 64, 64, 64], ""kernel_sizes"": [3, 3, 5, 5], ""pooling_types"": [""max"", ""max"", ""max"", ""avg""], ""skip_connections"": [false, false, false, true], ""dropout"": 0.005075557219338556}",4,"[32, 64, 64, 64]","[3, 3, 5, 5]","[""max"", ""max"", ""max"", ""avg""]","[false, false, false, true]",0.0050755572193385
7,52,0.6364580351666697,0.6396,0.5575111111111111,1.2314334205627442,1.0203277309417724,243306,0.7089048333303557,0.00243306,0.0007089048333303,"{""num_layers"": 4, ""filters"": [32, 32, 64, 128], ""kernel_sizes"": [3, 3, 3, 5], ""pooling_types"": [""max"", ""avg"", ""avg"", ""max""], ""skip_connections"": [false, false, false, true], ""dropout"": 0.005075557219338556}",4,"[32, 32, 64, 128]","[3, 3, 3, 5]","[""max"", ""avg"", ""avg"", ""max""]","[false, false, false, true]",0.0050755572193385
7,51,0.6301849470666647,0.6342,0.5611111111111111,1.2308716793484158,1.027796914958954,334858,0.6664729333351715,0.00334858,0.0006664729333351,"{""num_layers"": 4, ""filters"": [32, 128, 128, 128], ""kernel_sizes"": [3, 3, 3, 3], ""pooling_types"": [""max"", ""avg"", ""avg"", ""max""], ""skip_connections"": [true, false, true, false], ""dropout"": 0.005075557219338556}",4,"[32, 128, 128, 128]","[3, 3, 3, 3]","[""max"", ""avg"", ""avg"", ""max""]","[true, false, true, false]",0.0050755572193385
3,25,0.6182300721999975,0.6206,0.5247111111111111,1.3139564114040798,1.0632065974235534,160298,0.7669478000025265,0.00160298,0.0007669478000025,"{""num_layers"": 4, ""filters"": [32, 32, 32, 128], ""kernel_sizes"": [3, 5, 5, 5], ""pooling_types"": [""max"", ""max"", ""max"", ""avg""], ""skip_connections"": [false, false, true, true], ""dropout"": 0.005075557219338556}",4,"[32, 32, 32, 128]","[3, 5, 5, 5]","[""max"", ""max"", ""max"", ""avg""]","[false, false, true, true]",0.0050755572193385
2,20,0.6023985343333382,0.6062,0.5150222222222223,1.3485283952501086,1.1085190355300902,318922,0.6122456666616927,0.00318922,0.0006122456666616,"{""num_layers"": 3, ""filters"": [64, 64, 128], ""kernel_sizes"": [3, 5, 5], ""pooling_types"": [""max"", ""max"", ""max""], ""skip_connections"": [false, false, true], ""dropout"": 0.03309430260577362}",3,"[64, 64, 128]","[3, 5, 5]","[""max"", ""max"", ""max""]","[false, false, true]",0.0330943026057736
5,39,0.5445005851333384,0.5458,0.4968222222222222,1.394563469611274,1.2881250873565673,66170,0.637714866661554,0.0006617,0.0006377148666615,"{""num_layers"": 4, ""filters"": [16, 16, 64, 64], ""kernel_sizes"": [3, 3, 5, 3], ""pooling_types"": [""max"", ""max"", ""max"", ""avg""], ""skip_connections"": [false, false, false, true], ""dropout"": 0.005075557219338556}",4,"[16, 16, 64, 64]","[3, 3, 5, 3]","[""max"", ""max"", ""max"", ""avg""]","[false, false, false, true]",0.0050755572193385
7,50,0.5126327366000071,0.5134,0.4779777777777778,1.452954074605306,1.3560383064270018,29418,0.4730833999929018,0.00029418,0.0004730833999929,"{""num_layers"": 3, ""filters"": [32, 32, 64], ""kernel_sizes"": [3, 3, 3], ""pooling_types"": [""max"", ""max"", ""max""], ""skip_connections"": [false, false, false], ""dropout"": 0.005075557219338556}",3,"[32, 32, 64]","[3, 3, 3]","[""max"", ""max"", ""max""]","[false, false, false]",0.0050755572193385
