generation,individual_id,fitness,validation_accuracy,train_accuracy,train_loss,validation_loss,parameters,latency_ms,parameter_penalty,latency_penalty,genome,num_layers,filters,kernel_sizes,pooling_types,skip_connections,dropout
0,0,0.39031318239999846,0.3914,0.27282222222222224,1.936906995985243,1.6979674880981446,49786,0.5889576000015495,0.0004978599999999999,0.0005889576000015495,"{""num_layers"": 4, ""filters"": [16, 16, 64, 64], ""kernel_sizes"": [3, 3, 3, 3], ""pooling_types"": [""avg"", ""max"", ""max"", ""max""], ""skip_connections"": [false, false, false, false], ""dilations"": [1, 1, 1, 1], ""separable"": [false, false, false, false], ""dropout"": 0.35800980646120173}",4,"[16, 16, 64, 64]","[3, 3, 3, 3]","[""avg"", ""max"", ""max"", ""max""]","[false, false, false, false]",0.35800980646120173
0,1,0.5973630819666664,0.608,0.4855777777777778,1.4107710736592611,1.069005306339264,972426,0.9126580333334763,0.00972426,0.0009126580333334763,"{""num_layers"": 4, ""filters"": [128, 128, 128, 128], ""kernel_sizes"": [3, 3, 5, 5], ""pooling_types"": [""avg"", ""max"", ""max"", ""avg""], ""skip_connections"": [false, false, true, false], ""dilations"": [1, 1, 1, 1], ""separable"": [false, false, false, false], ""dropout"": 0.1794896902423142}",4,"[128, 128, 128, 128]","[3, 3, 5, 5]","[""avg"", ""max"", ""max"", ""avg""]","[false, false, true, false]",0.1794896902423142
0,2,0.41052355739999946,0.4128,0.3091333333333333,1.8426662203470865,1.6100405334472656,179658,0.47986260000053943,0.00179658,0.00047986260000053944,"{""num_layers"": 3, ""filters"": [64, 64, 128], ""kernel_sizes"": [3, 5, 3], ""pooling_types"": [""avg"", ""avg"", ""max""], ""skip_connections"": [false, false, false], ""dilations"": [1, 1, 1], ""separable"": [false, false, false], ""dropout"": 0.38653417039434596}",3,"[64, 64, 128]","[3, 5, 3]","[""avg"", ""avg"", ""max""]","[false, false, false]",0.38653417039434596
0,3,0.3597826370333331,0.3606,0.2877111111111111,1.8926665256500244,1.7178967859268188,28458,0.5327829666669004,0.00028458,0.0005327829666669004,"{""num_layers"": 2, ""filters"": [32, 32], ""kernel_sizes"": [5, 5], ""pooling_types"": [""avg"", ""avg""], ""skip_connections"": [false, true], ""dilations"": [1, 1], ""separable"": [false, false], ""dropout"": 0.17763535011376075}",2,"[32, 32]","[5, 5]","[""avg"", ""avg""]","[false, true]",0.17763535011376075
0,4,0.5916991469666683,0.596,0.5169111111111111,1.3446108822928535,1.102276368522644,310090,1.1999530333317427,0.0031008999999999998,0.0011999530333317429,"{""num_layers"": 4, ""filters"": [64, 64, 64, 64], ""kernel_sizes"": [3, 5, 5, 5], ""pooling_types"": [""max"", ""avg"", ""max"", ""max""], ""skip_connections"": [false, true, true, true], ""dilations"": [1, 1, 1, 1], ""separable"": [false, false, false, false], ""dropout"": 0.03309430260577362}",4,"[64, 64, 64, 64]","[3, 5, 5, 5]","[""max"", ""avg"", ""max"", ""max""]","[false, true, true, true]",0.03309430260577362
0,5,0.5984479240666694,0.6034,0.5381111111111111,1.2889664137946235,1.1136921787261962,396170,0.9903759333307486,0.0039617,0.0009903759333307486,"{""num_layers"": 4, ""filters"": [64, 64, 128, 128], ""kernel_sizes"": [5, 3, 5, 3], ""pooling_types"": [""max"", ""avg"", ""avg"", ""avg""], ""skip_connections"": [true, false, false, true], ""dilations"": [1, 1, 1, 1], ""separable"": [false, false, false, false], ""dropout"": 0.045454706086896945}",4,"[64, 64, 128, 128]","[5, 3, 5, 3]","[""max"", ""avg"", ""avg"", ""avg""]","[true, false, false, true]",0.045454706086896945
0,6,0.3316024959666644,0.3322,0.2686222222222222,1.9587621419906616,1.8381730787277222,14218,0.4553240333355764,0.00014218,0.00045532403333557644,"{""num_layers"": 2, ""filters"": [16, 32], ""kernel_sizes"": [3, 5], ""pooling_types"": [""max"", ""avg""], ""skip_connections"": [true, true], ""dilations"": [1, 1], ""separable"": [false, false], ""dropout"": 0.2645571725495685}",2,"[16, 32]","[3, 5]","[""max"", ""avg""]","[true, true]",0.2645571725495685
0,7,0.4882913578999991,0.49,0.3761555555555556,1.6946447547488743,1.4150479068756103,107898,0.6296621000008903,0.00107898,0.0006296621000008903,"{""num_layers"": 4, ""filters"": [16, 16, 64, 128], ""kernel_sizes"": [3, 5, 5, 3], ""pooling_types"": [""avg"", ""max"", ""avg"", ""max""], ""skip_connections"": [false, true, false, false], ""dilations"": [1, 1, 1, 1], ""separable"": [false, false, false, false], ""dropout"": 0.18695692629557398}",4,"[16, 16, 64, 128]","[3, 5, 5, 3]","[""avg"", ""max"", ""avg"", ""max""]","[false, true, false, false]",0.18695692629557398
0,8,0.39857232743333687,0.3992,0.36273333333333335,1.735480583996243,1.6506774436950684,11274,0.5149325666631436,0.00011274,0.0005149325666631436,"{""num_layers"": 2, ""filters"": [16, 64], ""kernel_sizes"": [5, 3], ""pooling_types"": [""max"", ""avg""], ""skip_connections"": [true, false], ""dilations"": [1, 1], ""separable"": [false, false], ""dropout"": 0.028962583247093776}",2,"[16, 64]","[5, 3]","[""max"", ""avg""]","[true, false]",0.028962583247093776
0,9,0.3454120217000006,0.3482,0.26015555555555553,1.9786740105523004,1.786629906463623,205354,0.734438299999359,0.00205354,0.0007344382999993589,"{""num_layers"": 4, ""filters"": [16, 16, 128, 128], ""kernel_sizes"": [3, 3, 5, 3], ""pooling_types"": [""avg"", ""avg"", ""max"", ""max""], ""skip_connections"": [true, true, true, true], ""dilations"": [1, 1, 1, 1], ""separable"": [false, false, false, false], ""dropout"": 0.4498070423214727}",4,"[16, 16, 128, 128]","[3, 3, 5, 3]","[""avg"", ""avg"", ""max"", ""max""]","[true, true, true, true]",0.4498070423214727
0,10,0.5138681087666672,0.5146,0.43977777777777777,1.5342511491775512,1.327367583656311,22938,0.5025112333328252,0.00022938,0.0005025112333328253,"{""num_layers"": 3, ""filters"": [16, 32, 32], ""kernel_sizes"": [3, 5, 3], ""pooling_types"": [""max"", ""max"", ""max""], ""skip_connections"": [false, false, false], ""dilations"": [1, 1, 1], ""separable"": [false, false, false], ""dropout"": 0.03370016405515375}",3,"[16, 32, 32]","[3, 5, 3]","[""max"", ""max"", ""max""]","[false, false, false]",0.03370016405515375
