number,value,datetime_start,datetime_complete,duration,params_base_filters,params_batch_size,params_dropout,params_learning_rate,params_num_layers,params_optimizer,params_weight_decay,user_attrs_parameters,state
0,0.3046,2026-06-05 11:41:08.632348,2026-06-05 11:51:53.227251,0 days 00:10:44.594903,64,64,0.24132282234577357,0.00013668886806542498,2,sgd,2.7222461649436534e-05,77130.0,COMPLETE
1,0.4868,2026-06-05 11:51:53.227783,2026-06-05 11:55:48.922256,0 days 00:03:55.694473,32,128,0.4735369024649948,0.0011078801957339767,4,adam,0.00048686794035961145,391466.0,COMPLETE
2,0.6794,2026-06-05 11:55:48.922668,2026-06-05 12:00:35.668999,0 days 00:04:46.746331,128,128,0.10965424777008215,0.00037372913712767103,3,adam,3.152139841620179e-05,1484938.0,COMPLETE
3,0.2646,2026-06-05 12:00:35.669440,2026-06-05 12:00:59.479665,0 days 00:00:23.810225,16,128,0.407202125258682,0.0017505057241183016,3,adam,4.397066341018203e-05,,PRUNED
4,0.2594,2026-06-05 12:00:59.479934,2026-06-05 12:01:25.169677,0 days 00:00:25.689743,16,64,0.3232717443724937,0.0003267096741134126,3,adam,0.00011722158979927262,,PRUNED
5,0.3828,2026-06-05 12:01:25.169973,2026-06-05 12:02:15.937833,0 days 00:00:50.767860,64,128,0.1654608427979367,0.0005274915603460985,2,adam,5.857415234581233e-05,,PRUNED
6,0.6442,2026-06-05 12:02:15.938151,2026-06-05 12:06:05.569666,0 days 00:03:49.631515,16,128,0.17258619397704977,0.004598399288630771,4,adam,2.2838438226155244e-05,98970.0,COMPLETE
7,0.3432,2026-06-05 12:06:05.570047,2026-06-05 12:06:32.516395,0 days 00:00:26.946348,16,64,0.030764944349826684,0.00021508931874675679,4,sgd,7.926151463062333e-05,,PRUNED
8,0.2988,2026-06-05 12:06:32.516701,2026-06-05 12:06:57.569822,0 days 00:00:25.053121,32,128,0.05524060818968407,0.00011655149789799015,2,adam,5.1064612475242565e-05,,PRUNED
9,0.307,2026-06-05 12:06:57.570138,2026-06-05 12:07:21.305491,0 days 00:00:23.735353,16,128,0.05416819886712976,0.0009165046288134135,3,sgd,0.0004300447013512046,,PRUNED
10,0.4352,2026-06-05 12:07:21.305796,2026-06-05 12:08:22.643430,0 days 00:01:01.337634,128,64,0.3127093013247919,0.009261415115736573,3,sgd,1.2464150228641604e-05,,PRUNED
11,0.8076,2026-06-05 12:08:22.643746,2026-06-05 12:13:34.518329,0 days 00:05:11.874583,128,128,0.1568306406101521,0.004395341451842554,4,adam,1.2204275235965208e-05,6210698.0,COMPLETE
12,0.805,2026-06-05 12:13:34.518721,2026-06-05 12:18:44.366541,0 days 00:05:09.847820,128,128,0.14754793219077725,0.0027021236481053388,4,adam,1.0148382067980415e-05,6210698.0,COMPLETE
13,0.7794,2026-06-05 12:18:44.366972,2026-06-05 12:23:58.441529,0 days 00:05:14.074557,128,128,0.21616733566969748,0.003244768875930013,4,adam,1.0277290703922328e-05,6210698.0,COMPLETE
14,0.8048,2026-06-05 12:23:58.441933,2026-06-05 12:29:14.387582,0 days 00:05:15.945649,128,128,0.1333342061967076,0.0035175172184402415,4,adam,1.5864875050429793e-05,6210698.0,COMPLETE
15,0.4626,2026-06-05 12:29:14.387993,2026-06-05 12:29:48.160361,0 days 00:00:33.772368,128,128,0.2604136095376881,0.00860245899618088,4,adam,1.0267234553707244e-05,,PRUNED
16,0.7948,2026-06-05 12:29:48.160665,2026-06-05 12:35:03.242574,0 days 00:05:15.081909,128,128,0.08362920612053965,0.0019768376190142747,4,adam,2.0377451761288844e-05,6210698.0,COMPLETE
17,0.2978,2026-06-05 12:35:03.243083,2026-06-05 12:35:36.783929,0 days 00:00:33.540846,128,128,0.19023013891577323,0.005474968630889619,4,adam,0.0009921284638274585,,PRUNED
18,0.5166,2026-06-05 12:35:36.784231,2026-06-05 12:36:37.231735,0 days 00:01:00.447504,128,64,0.006551758118135992,0.002101228572741044,3,sgd,0.00011883413829425649,,PRUNED
19,0.4356,2026-06-05 12:36:37.232011,2026-06-05 12:37:03.480042,0 days 00:00:26.248031,32,128,0.28244529601434765,0.001067868810108896,4,adam,1.7037786775738865e-05,,PRUNED
20,0.5566,2026-06-05 12:37:03.480321,2026-06-05 12:37:57.217543,0 days 00:00:53.737222,64,128,0.14013425887620917,0.006327333626825647,4,adam,3.35768312282665e-05,,PRUNED
21,0.7872,2026-06-05 12:37:57.217844,2026-06-05 12:43:10.433077,0 days 00:05:13.215233,128,128,0.1156428200042329,0.003194776018055003,4,adam,1.6040188666101424e-05,6210698.0,COMPLETE
22,0.6768,2026-06-05 12:43:10.433488,2026-06-05 12:45:16.871855,0 days 00:02:06.438367,128,128,0.1337284208161036,0.003379130232413908,4,adam,1.4421491068517863e-05,,PRUNED
23,0.6778,2026-06-05 12:45:16.872181,2026-06-05 12:47:23.133239,0 days 00:02:06.261058,128,128,0.20737530085185724,0.0025924680931500464,4,adam,1.9006122566593235e-05,,PRUNED
24,0.7996,2026-06-05 12:47:23.133552,2026-06-05 12:52:33.947743,0 days 00:05:10.814191,128,128,0.0820520983331727,0.004504029174912323,4,adam,1.276986383802778e-05,6210698.0,COMPLETE
25,0.745,2026-06-05 12:52:33.948082,2026-06-05 12:56:13.747445,0 days 00:03:39.799363,128,128,0.156497722970704,0.0014874354221899092,4,adam,2.5167220270621087e-05,,PRUNED
26,0.4168,2026-06-05 12:56:13.747755,2026-06-05 12:56:45.176099,0 days 00:00:31.428344,128,64,0.22430638055915203,0.007212922206983864,3,sgd,1.608933541260335e-05,,PRUNED
